视频标题：SKILL到底是什么？：精读《Equipping agents for the real world with Agent Skills》 ①
UP主：慢学AI
时长：05:47
链接：https://www.bilibili.com/video/BV1uZCFBdEs4

===== 字幕（带时间戳） =====

00:00.08 → 00:01.84  现在我们正站在一个转折点上
00:01.84 → 00:04.78  AI agent正从会聊天转向能做事
00:04.78 → 00:06.66  但在执行真实世界任务时
00:06.66 → 00:07.96  依然存在很多瓶颈
00:07.96 → 00:09.34  今年10月16日
00:09.34 → 00:11.43  ANTHROPIC发布了官方文档
00:11.43 → 00:15.42  Equipping agents for the real world with agent skills
00:15.42 → 00:16.72  提出了解决方案
00:16.72 → 00:17.72  skills机制
00:17.72 → 00:21.12  这篇文章为agent进入真实世界任务做好了准备
00:21.12 → 00:23.52  原文首先肯定了cloud的强大
00:23.52 → 00:24.58  但也指出
00:24.58 → 00:25.70  在现实工作中
00:25.70 → 00:27.10  他缺少两样关键能力
00:27.10 → 00:29.26  第一缺乏过程知识
00:29.26 → 00:30.92  即不知道事情该怎么做
00:30.92 → 00:32.97  第二缺乏组织背景
00:32.97 → 00:34.39  既不知道东西在哪里
00:34.39 → 00:36.75  我们可以把一个agent想象成一个聪明
00:36.75 → 00:37.85  但没经验的新员工
00:37.85 → 00:39.63  这个新员工虽然很聪明
00:39.63 → 00:41.73  但入职第一天什么都做不了
00:41.73 → 00:42.61  为什么
00:42.61 → 00:45.11  因为他面临两个巨大的能力差距
00:45.11 → 00:47.53  第一他不知道公司如何做事
00:47.53 → 00:50.01  他会问我们的报销流程是什么
00:50.01 → 00:51.49  我该如何提交代码
00:51.49 → 00:53.25  这就是过程知识的缺失
00:53.25 → 00:56.13  第二他不知道公司的资料放在哪
00:56.13 → 00:58.49  他会问我们的项目API密钥在哪里
00:58.49 → 00:59.79  TTT模板在哪
00:59.79 → 01:01.40  这就是组织背景的缺失
01:01.40 → 01:02.50  没有这两样东西
01:02.50 → 01:05.74  agent就无法处理真实世界中的具体工作
01:05.74 → 01:06.88  要解决这两个问题
01:06.88 → 01:09.90  我们通常会给新员工一本标准化的sop
01:09.90 → 01:11.52  入职指南或岗位手册
01:11.52 → 01:13.36  而在ENTROPIC的设计中
01:13.36 → 01:15.08  这本手册就是skill
01:15.08 → 01:17.58  skill的核心定义是由指令
01:17.58 → 01:20.28  脚本和资源组成的结构化文件夹
